,Nome,Partido,Estado
173,Dr. Luiz Ovando,PSL,Mato Grosso do Sul
174,Fabio Trad,PSD,Mato Grosso do Sul
175,Rose Modesto,PSDB,Mato Grosso do Sul
176,Tereza Cristina,DEM,Mato Grosso do Sul
177,Tio Trutis,PSL,Mato Grosso do Sul
178,Vander Loubet,PT,Mato Grosso do Sul
180,Aécio Neves,PSDB,Minas Gerais
181,Alê Silva,PSL,Minas Gerais
182,Andre Janones,AVANTE,Minas Gerais
183,Aurea Carolina,PSOL,Minas Gerais
184,Bilac Pinto,DEM,Minas Gerais
185,Cabo Junio Amaral,PSL,Minas Gerais
186,Charlles Evangelista,PSL,Minas Gerais
187,Delegado Marcelo Freitas,PSL,Minas Gerais
188,Diego Andrade,PSD,Minas Gerais
189,Dimas Fabiano,PP,Minas Gerais
190,Domingos Sávio,PSDB,Minas Gerais
191,Doutor Frederico,PATRI,Minas Gerais
192,Dr. Mário Heringer,PDT,Minas Gerais
193,Eduardo Barbosa,PSDB,Minas Gerais
194,Emidinho Madeira,PSB,Minas Gerais
195,Eros Biondini,PROS,Minas Gerais
196,Euclydes Pettersen,PSC,Minas Gerais
197,Fabio Ramalho,MDB,Minas Gerais
198,Franco Cartafina,PHS,Minas Gerais
199,Fred Costa,PATRI,Minas Gerais
200,Gilberto Abramo,PRB,Minas Gerais
201,Greyce Elias,AVANTE,Minas Gerais
202,Hercílio Coelho Diniz,MDB,Minas Gerais
203,Igor Timo,PODE,Minas Gerais
204,Julio Delgado,PSB,Minas Gerais
205,Lafayette Andrada,PRB,Minas Gerais
206,Léo Motta,PSL,Minas Gerais
207,Leonardo Monteiro,PT,Minas Gerais
208,Lincoln Portela,PR,Minas Gerais
209,Lucas Gonzalez,NOVO,Minas Gerais
210,Luis Tibe,AVANTE,Minas Gerais
211,Marcelo Álvaro Antônio,PSL,Minas Gerais
212,Marcelo Aro,PHS,Minas Gerais
213,Margarida Salomão,PT,Minas Gerais
214,Mauro Lopes,MDB,Minas Gerais
215,Misael Varella,PSD,Minas Gerais
216,Newton Cardoso Jr,MDB,Minas Gerais
217,Odair Cunha,PT,Minas Gerais
218,Padre João,PT,Minas Gerais
219,Patrus Ananias,PT,Minas Gerais
220,Paulo Abi Ackel,PSDB,Minas Gerais
221,Paulo Guedes,PT,Minas Gerais
222,Pinheirinho,PP,Minas Gerais
223,Reginaldo Lopes,PT,Minas Gerais
224,Rodrigo de Castro,PSDB,Minas Gerais
225,Rogério Correia,PT,Minas Gerais
226,Stefano Aguiar,PSD,Minas Gerais
227,Subtenente Gonzaga,PDT,Minas Gerais
228,Tiago Mitraud,NOVO,Minas Gerais
229,Vilson da Fetaemg,PSB,Minas Gerais
230,Weliton Prado,PROS,Minas Gerais
231,Zé Silva,SD,Minas Gerais
232,Zé Vitor,PMN,Minas Gerais
234,Airton Faleiro,PT,Pará
235,Beto Faro,PT,Pará
236,Cássio Andrade,PSB,Pará
237,Celso Sabino,PSDB,Pará
238,Cristiano Vale,PR,Pará
239,Delegado Éder Mauro,PSD,Pará
240,Edmilson Rodrigues,PSOL,Pará
241,Eduardo Costa,PTB,Pará
242,Elcione,MDB,Pará
243,Hélio Leite,DEM,Pará
244,Joaquim Passarinho,PSD,Pará
245,Júnior Ferrari,PSD,Pará
246,Nilson Pinto,PSDB,Pará
247,Olival Marques,DEM,Pará
248,Paulo Bengtson,PTB,Pará
249,Priante,MDB,Pará
250,Vavá Martins,PRB,Pará
252,Aguinaldo Ribeiro,PP,Paraíba
253,Dr Damião,PDT,Paraíba
254,Edna Henrique,PSDB,Paraíba
255,Efraim Filho,DEM,Paraíba
256,Frei Anastácio,PT,Paraíba
257,Gervásio Maia,PSB,Paraíba
258,Hugo,PRB,Paraíba
259,Julian Lemos,PSL,Paraíba
260,Pedro Cunha Lima,PSDB,Paraíba
261,Ruy Carneiro,PSDB,Paraíba
262,Wellington Roberto,PR,Paraíba
263,Wilson Santiago,PTB,Paraíba
265,Aliel Machado,PSB,Paraná
266,Aline Sleutjes,PSL,Paraná
267,Aroldo Martins,PRB,Paraná
268,Boca Aberta,PROS,Paraná
269,Christiane Yared,PR,Paraná
270,Diego Garcia,PODE,Paraná
271,Enio Verri,PT,Paraná
272,Felipe Francischini,PSL,Paraná
273,Filipe Barros,PSL,Paraná
274,Giacobo,PR,Paraná
275,Gleisi Lula,PT,Paraná
276,Gustavo Fruet,PDT,Paraná
277,Hermes Frangão Parcianello,MDB,Paraná
278,Leandre,PV,Paraná
279,Luciano Ducci,PSB,Paraná
280,Luisa Canziani,PTB,Paraná
281,Luiz Nishimori,PR,Paraná
282,Luizão Goulart,PRB,Paraná
283,Ney Leprevost,PSD,Paraná
284,Paulo Martins,PSC,Paraná
285,Pedro Lupion,DEM,Paraná
286,Ricardo Barros,PP,Paraná
287,Rubens Bueno,PPS,Paraná
288,Sandro Alex,PSD,Paraná
289,Sargento Fahur,PSD,Paraná
290,Schiavinato,PP,Paraná
291,Sérgio Souza,MDB,Paraná
292,Toninho Wandscheer,PROS,Paraná
293,Vermelho,PSD,Paraná
294,Zeca Dirceu,PT,Paraná
296,André de Paula,PSD,Pernambuco
297,Andre Ferreira,PSC,Pernambuco
298,Augusto Coutinho,SD,Pernambuco
299,Bispo Ossesio,PRB,Pernambuco
300,Carlos Veras,PT,Pernambuco
301,Daniel Coelho,PPS,Pernambuco
302,Danilo Cabral,PSB,Pernambuco
303,Eduardo da Fonte,PP,Pernambuco
304,Felipe Carreras,PSB,Pernambuco
305,Fernando Filho,DEM,Pernambuco
306,Fernando Monteiro,PP,Pernambuco
307,Fernando Rodolfo,PHS,Pernambuco
308,Gonzaga Patriota,PSB,Pernambuco
309,João Campos,PSB,Pernambuco
310,Luciano Bivar,PSL,Pernambuco
311,Marília Arraes,PT,Pernambuco
312,Pastor Eurico,PATRI,Pernambuco
313,Raul Henry,MDB,Pernambuco
314,Renildo Calheiros,PC do B,Pernambuco
315,Ricardo Teobaldo,PODE,Pernambuco
316,Sebastião Oliveira,PR,Pernambuco
317,Silvio Costa Filho,PRB,Pernambuco
318,Tadeu Alencar,PSB,Pernambuco
319,Túlio Gadêlha,PDT,Pernambuco
320,Wolney Queiroz,PDT,Pernambuco
322,Assis Carvalho,PT,Piauí
323,Átila Lira,PSB,Piauí
324,Capitão Fábio Abreu,PR,Piauí
325,Dra. Marina,PTC,Piauí
326,Flavio Nogueira,PDT,Piauí
327,Iracema Portella,PP,Piauí
328,Júlio Cesar,PSD,Piauí
329,Marcos Aurélio Sampaio,MDB,Piauí
330,Margarete Coelho,PP,Piauí
331,Rejane Dias,PT,Piauí
333,Alessandro Molon,PSB,Rio de Janeiro
334,Alexandre Serfiotis,PSD,Rio de Janeiro
335,Altineu Cortes,PR,Rio de Janeiro
336,Aureo,SD,Rio de Janeiro
337,Benedita da Silva,PT,Rio de Janeiro
338,Carlos Jordy,PSL,Rio de Janeiro
339,Chico d Angelo,PDT,Rio de Janeiro
340,Chiquinho Brazão,AVANTE,Rio de Janeiro
341,Chris Tonietto,PSL,Rio de Janeiro
342,Christino Aureo,PP,Rio de Janeiro
343,Clarisse Garotinho,PROS,Rio de Janeiro
344,Daniel Silveira,PSL,Rio de Janeiro
345,Daniela do Waguinho,MDB,Rio de Janeiro
346,Delegado Antônio Furtado,PSL,Rio de Janeiro
347,Dr. Luizinho,PP,Rio de Janeiro
348,Felício Laterça,PSL,Rio de Janeiro
349,Flordelis,PSD,Rio de Janeiro
350,Gelson Azevedo,PHS,Rio de Janeiro
351,Glauber Braga,PSOL,Rio de Janeiro
352,Gutemberg Reis,MDB,Rio de Janeiro
353,Helio Fernando Barbosa Lopes,PSL,Rio de Janeiro
354,Hugo Leal,PSD,Rio de Janeiro
355,Jandira Feghali,PC do B,Rio de Janeiro
356,David Miranda,PSOL,Rio de Janeiro
357,Juninho do Pneu,DEM,Rio de Janeiro
358,Lourival Gomes,PSL,Rio de Janeiro
359,Luiz Antônio,DC,Rio de Janeiro
360,Luiz Lima,PSL,Rio de Janeiro
361,Major Fabiana,PSL,Rio de Janeiro
362,Marcelo Calero,PPS,Rio de Janeiro
363,Marcelo Freixo,PSOL,Rio de Janeiro
364,Márcio Labre,PSL,Rio de Janeiro
365,Otoni de Paula,PSC,Rio de Janeiro
366,Paulo Ganime,NOVO,Rio de Janeiro
367,Paulo Ramos,PDT,Rio de Janeiro
368,Pedro Paulo,DEM,Rio de Janeiro
369,Professor Joziel,PSL,Rio de Janeiro
370,Rodrigo Maia,DEM,Rio de Janeiro
371,Rosangela Gomes,PRB,Rio de Janeiro
372,Sargento Gurgel,PSL,Rio de Janeiro
373,Soraya Santos,PR,Rio de Janeiro
374,Sóstenes,DEM,Rio de Janeiro
375,Talíria Petrone,PSOL,Rio de Janeiro
376,Vinícius Farah,MDB,Rio de Janeiro
377,Jorge Braz,PRB,Rio de Janeiro
378,Wladimir Garotinho,PRP,Rio de Janeiro
380,Benes Leocadio,PTC,Rio Grande do Norte
381,Fábio Faria,PSD,Rio Grande do Norte
382,General Girao,PSL,Rio Grande do Norte
383,João Maia,PR,Rio Grande do Norte
384,Beto Rosado,PP,Rio Grande do Norte
385,Natalia Bonavides,PT,Rio Grande do Norte
386,Rafael Motta,PSB,Rio Grande do Norte
387,Walter Alves,MDB,Rio Grande do Norte
389,Afonso Hamm,PP,Rio Grande do Sul
390,Afonso Motta,PDT,Rio Grande do Sul
391,Alceu Moreira,MDB,Rio Grande do Sul
392,Bibo Nunes,PSL,Rio Grande do Sul
393,Bohn Gass,PT,Rio Grande do Sul
394,Carlos Gomes,PRB,Rio Grande do Sul
395,Covatti Filho,PP,Rio Grande do Sul
396,Daniel da TV,PSDB,Rio Grande do Sul
397,Danrlei de Deus Goleiro,PSD,Rio Grande do Sul
398,Fernanda Melchionna,PSOL,Rio Grande do Sul
399,Giovani Cherini,PR,Rio Grande do Sul
400,Giovani Feltes,MDB,Rio Grande do Sul
401,Heitor Schuch,PSB,Rio Grande do Sul
402,Henrique Fontana,PT,Rio Grande do Sul
403,Jerônimo Goergen,PP,Rio Grande do Sul
404,Liziane Bayer,PSB,Rio Grande do Sul
405,Lucas Redecker,PSDB,Rio Grande do Sul
406,Marcel Van Hattem,NOVO,Rio Grande do Sul
407,Marcelo Moraes,PTB,Rio Grande do Sul
408,Márcio Biolchi,MDB,Rio Grande do Sul
409,Marcon,PT,Rio Grande do Sul
410,Maria do Rosário,PT,Rio Grande do Sul
411,Marlon Santos,PDT,Rio Grande do Sul
412,Maurício Dziedricki,PTB,Rio Grande do Sul
413,Nereu Crispin,PSL,Rio Grande do Sul
414,Onyx Lorenzoni,DEM,Rio Grande do Sul
